FIPS,MajorOcc,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample,StateAB
5,Architecture & Engineering Occupations,3,117,0.032611381,396,12143,117,AR
5,"Life, Physical, & Social Science Occupations",3,71,0.024409144,189,7743,71,AR
5,Community & Social Services Occupations,3,230,0.080630135,1904,23614,230,AR
5,Legal Occupations,3,87,0.057731724,507,8782,87,AR
5,"Education, Training, & Library Occupations",3,836,0.048402333,4099,84686,836,AR
5,"Arts, Design, Entertainment, Sports, & Media Occupations",3,125,0.063314069,734,11593,125,AR
5,Healthcare Practitioners & Technical Occupations,3,745,0.053621849,4235,78979,745,AR
5,Healthcare Support Occupations,3,294,0.107141722,3371,31463,294,AR
5,Protective Service Occupations,3,214,0.060018553,1294,21560,214,AR
5,Food Preparation & Serving Related Occupations,3,511,0.09205247,5621,61063,511,AR
5,Building & Grounds Cleaning & Maintenance Occupations,3,458,0.108925984,5788,53137,458,AR
5,Personal Care & Service Occupations,3,361,0.142838696,5531,38722,361,AR
5,Sales & Related Occupations,3,1248,0.053392796,6896,129156,1248,AR
5,Office & Administrative Support Occupations,3,1684,0.071025119,12147,171024,1684,AR
5,"Farming, Fishing, & Forestry Occupations",3,152,0.109611777,1519,13858,152,AR
5,Construction & Extraction Occupations,3,598,0.065011294,4231,65081,598,AR
5,"Installation, Maintenance, & Repair Occupations",3,476,0.075676452,3689,48747,476,AR
5,Production Occupations,3,1046,0.080987307,9430,116438,1046,AR
5,Transportation & Material Moving Occupations,3,809,0.098501399,8341,84679,809,AR
5,Military Specific Occupations,3,19,0,0,1279,19,AR
6,Management Occupations,3,17281,0.035321195,61525,1741872,17281,CA
6,Business & Financial Operations Occupations,3,8784,0.037480539,32283,861327,8784,CA
6,Computer & Mathematical Occupations,3,5218,0.028815001,14906,517300,5218,CA
6,Architecture & Engineering Occupations,3,3969,0.029678758,11214,377846,3969,CA
6,"Life, Physical, & Social Science Occupations",3,1816,0.030465087,5127,168291,1816,CA
6,Community & Social Services Occupations,3,2568,0.058952816,14833,251608,2568,CA
