Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Educational Services,"Education, Training, & Library Occupations",0,Some College,15,9325,889179,9325
Educational Services,"Education, Training, & Library Occupations",0,Bachelors Degree or more,15,64601,6032426,64601
Educational Services,"Education, Training, & Library Occupations",1,Less than High School,15,65,5593,65
Educational Services,"Education, Training, & Library Occupations",1,High School,15,258,22281,258
Educational Services,"Education, Training, & Library Occupations",1,Some College,15,601,56544,601
Educational Services,"Education, Training, & Library Occupations",1,Bachelors Degree or more,15,2683,237231,2683
Educational Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Less than High School,15,18,2269,18
Educational Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,High School,15,168,15883,168
Educational Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Some College,15,764,82035,764
Educational Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Bachelors Degree or more,15,1287,127036,1287
Educational Services,"Arts, Design, Entertainment, Sports, & Media Occupations",1,High School,15,4,404,4
Educational Services,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Some College,15,29,2532,29
Educational Services,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Bachelors Degree or more,15,49,4446,49
Educational Services,Healthcare Practitioners & Technical Occupations,0,Less than High School,15,21,2354,21
Educational Services,Healthcare Practitioners & Technical Occupations,0,High School,15,74,8435,74
Educational Services,Healthcare Practitioners & Technical Occupations,0,Some College,15,489,43713,489
Educational Services,Healthcare Practitioners & Technical Occupations,0,Bachelors Degree or more,15,2285,205487,2285
Educational Services,Healthcare Practitioners & Technical Occupations,1,Less than High School,15,2,63,2
Educational Services,Healthcare Practitioners & Technical Occupations,1,High School,15,6,540,6
Educational Services,Healthcare Practitioners & Technical Occupations,1,Some College,15,27,2312,27
Educational Services,Healthcare Practitioners & Technical Occupations,1,Bachelors Degree or more,15,79,6474,79
Educational Services,Healthcare Support Occupations,0,Less than High School,15,8,715,8
Educational Services,Healthcare Support Occupations,0,High School,15,63,6096,63
Educational Services,Healthcare Support Occupations,0,Some College,15,168,17248,168
Educational Services,Healthcare Support Occupations,0,Bachelors Degree or more,15,59,6399,59
Educational Services,Healthcare Support Occupations,1,Less than High School,15,1,166,1
Educational Services,Healthcare Support Occupations,1,High School,15,7,910,7
Educational Services,Healthcare Support Occupations,1,Some College,15,8,556,8
Educational Services,Healthcare Support Occupations,1,Bachelors Degree or more,15,4,350,4
Educational Services,Protective Service Occupations,0,Less than High School,15,48,5697,48
Educational Services,Protective Service Occupations,0,High School,15,268,27916,268
Educational Services,Protective Service Occupations,0,Some College,15,539,54042,539
Educational Services,Protective Service Occupations,0,Bachelors Degree or more,15,191,19537,191
Educational Services,Protective Service Occupations,1,Less than High School,15,17,1388,17
Educational Services,Protective Service Occupations,1,High School,15,37,3471,37
Educational Services,Protective Service Occupations,1,Some College,15,53,6662,53
Educational Services,Protective Service Occupations,1,Bachelors Degree or more,15,11,963,11
Educational Services,Food Preparation & Serving Related Occupations,0,Less than High School,15,462,53160,462
Educational Services,Food Preparation & Serving Related Occupations,0,High School,15,1739,160350,1739
Educational Services,Food Preparation & Serving Related Occupations,0,Some College,15,1153,103615,1153
Educational Services,Food Preparation & Serving Related Occupations,0,Bachelors Degree or more,15,181,17304,181
Educational Services,Food Preparation & Serving Related Occupations,1,Less than High School,15,71,6128,71
Educational Services,Food Preparation & Serving Related Occupations,1,High School,15,172,15749,172
Educational Services,Food Preparation & Serving Related Occupations,1,Some College,15,81,6979,81
Educational Services,Food Preparation & Serving Related Occupations,1,Bachelors Degree or more,15,12,1376,12
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,0,Less than High School,15,826,88591,826
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,0,High School,15,2520,240984,2520
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,0,Some College,15,1629,156754,1629
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,0,Bachelors Degree or more,15,263,24418,263
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,1,Less than High School,15,103,10752,103
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,1,High School,15,287,25282,287
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,1,Some College,15,161,15142,161
Educational Services,Building & Grounds Cleaning & Maintenance Occupations,1,Bachelors Degree or more,15,26,2086,26
Educational Services,Personal Care & Service Occupations,0,Less than High School,15,113,10149,113
Educational Services,Personal Care & Service Occupations,0,High School,15,764,68301,764
Educational Services,Personal Care & Service Occupations,0,Some College,15,1756,143967,1756
Educational Services,Personal Care & Service Occupations,0,Bachelors Degree or more,15,569,52680,569
Educational Services,Personal Care & Service Occupations,1,Less than High School,15,23,1890,23
Educational Services,Personal Care & Service Occupations,1,High School,15,61,5167,61
Educational Services,Personal Care & Service Occupations,1,Some College,15,104,9525,104
Educational Services,Personal Care & Service Occupations,1,Bachelors Degree or more,15,24,2368,24
Educational Services,Sales & Related Occupations,0,Less than High School,15,18,1317,18
Educational Services,Sales & Related Occupations,0,High School,15,124,11478,124
Educational Services,Sales & Related Occupations,0,Some College,15,248,23425,248
Educational Services,Sales & Related Occupations,0,Bachelors Degree or more,15,132,12649,132
Educational Services,Sales & Related Occupations,1,Less than High School,15,3,241,3
Educational Services,Sales & Related Occupations,1,High School,15,4,231,4
Educational Services,Sales & Related Occupations,1,Some College,15,18,1606,18
Educational Services,Sales & Related Occupations,1,Bachelors Degree or more,15,7,433,7
Educational Services,Office & Administrative Support Occupations,0,Less than High School,15,155,16745,155
Educational Services,Office & Administrative Support Occupations,0,High School,15,2712,233649,2712
Educational Services,Office & Administrative Support Occupations,0,Some College,15,7008,608318,7008
Educational Services,Office & Administrative Support Occupations,0,Bachelors Degree or more,15,3175,303771,3175
Educational Services,Office & Administrative Support Occupations,1,Less than High School,15,9,754,9
Educational Services,Office & Administrative Support Occupations,1,High School,15,163,12659,163
Educational Services,Office & Administrative Support Occupations,1,Some College,15,368,32938,368
Educational Services,Office & Administrative Support Occupations,1,Bachelors Degree or more,15,165,15540,165
Educational Services,"Farming, Fishing, & Forestry Occupations",0,Less than High School,15,2,215,2
Educational Services,"Farming, Fishing, & Forestry Occupations",0,High School,15,4,372,4
Educational Services,"Farming, Fishing, & Forestry Occupations",0,Some College,15,12,1290,12
Educational Services,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,15,3,429,3
Educational Services,Construction & Extraction Occupations,0,Less than High School,15,35,3336,35
Educational Services,Construction & Extraction Occupations,0,High School,15,253,23602,253
Educational Services,Construction & Extraction Occupations,0,Some College,15,234,23572,234
Educational Services,Construction & Extraction Occupations,0,Bachelors Degree or more,15,41,3639,41
Educational Services,Construction & Extraction Occupations,1,Less than High School,15,3,399,3
Educational Services,Construction & Extraction Occupations,1,High School,15,18,1416,18
Educational Services,Construction & Extraction Occupations,1,Some College,15,24,2109,24
Educational Services,Construction & Extraction Occupations,1,Bachelors Degree or more,15,1,67,1
Educational Services,"Installation, Maintenance, & Repair Occupations",0,Less than High School,15,49,5045,49
Educational Services,"Installation, Maintenance, & Repair Occupations",0,High School,15,376,36430,376
Educational Services,"Installation, Maintenance, & Repair Occupations",0,Some College,15,524,47733,524
Educational Services,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,15,130,13220,130
Educational Services,"Installation, Maintenance, & Repair Occupations",1,Less than High School,15,7,607,7
Educational Services,"Installation, Maintenance, & Repair Occupations",1,High School,15,40,3829,40
Educational Services,"Installation, Maintenance, & Repair Occupations",1,Some College,15,34,3143,34
Educational Services,"Installation, Maintenance, & Repair Occupations",1,Bachelors Degree or more,15,10,642,10
Educational Services,Production Occupations,0,Less than High School,15,16,2421,16
Educational Services,Production Occupations,0,High School,15,107,9095,107
Educational Services,Production Occupations,0,Some College,15,196,16780,196
Educational Services,Production Occupations,0,Bachelors Degree or more,15,74,6655,74
Educational Services,Production Occupations,1,Less than High School,15,8,1448,8
Educational Services,Production Occupations,1,High School,15,11,612,11
Educational Services,Production Occupations,1,Some College,15,11,955,11
Educational Services,Production Occupations,1,Bachelors Degree or more,15,8,640,8
Educational Services,Transportation & Material Moving Occupations,0,Less than High School,15,206,18638,206
Educational Services,Transportation & Material Moving Occupations,0,High School,15,1176,110615,1176
Educational Services,Transportation & Material Moving Occupations,0,Some College,15,1075,100140,1075
Educational Services,Transportation & Material Moving Occupations,0,Bachelors Degree or more,15,246,24594,246
Educational Services,Transportation & Material Moving Occupations,1,Less than High School,15,38,3329,38
Educational Services,Transportation & Material Moving Occupations,1,High School,15,120,11028,120
Educational Services,Transportation & Material Moving Occupations,1,Some College,15,94,8741,94
Educational Services,Transportation & Material Moving Occupations,1,Bachelors Degree or more,15,23,1617,23
Health Care,Management Occupations,0,Less than High School,15,109,11032,109
Health Care,Management Occupations,0,High School,15,827,80682,827
Health Care,Management Occupations,0,Some College,15,2619,259028,2619
Health Care,Management Occupations,0,Bachelors Degree or more,15,6239,607878,6239
Health Care,Management Occupations,1,Less than High School,15,15,1250,15
Health Care,Management Occupations,1,High School,15,76,6595,76
Health Care,Management Occupations,1,Some College,15,209,20065,209
Health Care,Management Occupations,1,Bachelors Degree or more,15,263,24901,263
Health Care,Business & Financial Operations Occupations,0,Less than High School,15,24,2155,24
Health Care,Business & Financial Operations Occupations,0,High School,15,260,28507,260
Health Care,Business & Financial Operations Occupations,0,Some College,15,716,73435,716
Health Care,Business & Financial Operations Occupations,0,Bachelors Degree or more,15,1699,167134,1699
Health Care,Business & Financial Operations Occupations,1,Less than High School,15,2,140,2
Health Care,Business & Financial Operations Occupations,1,High School,15,14,831,14
Health Care,Business & Financial Operations Occupations,1,Some College,15,44,4083,44
Health Care,Business & Financial Operations Occupations,1,Bachelors Degree or more,15,63,5994,63
Health Care,Computer & Mathematical Occupations,0,Less than High School,15,10,1097,10
Health Care,Computer & Mathematical Occupations,0,High School,15,93,9678,93
Health Care,Computer & Mathematical Occupations,0,Some College,15,619,59948,619
Health Care,Computer & Mathematical Occupations,0,Bachelors Degree or more,15,969,99018,969
Health Care,Computer & Mathematical Occupations,1,Less than High School,15,1,64,1
Health Care,Computer & Mathematical Occupations,1,High School,15,8,501,8
Health Care,Computer & Mathematical Occupations,1,Some College,15,29,2579,29
Health Care,Computer & Mathematical Occupations,1,Bachelors Degree or more,15,33,3790,33
Health Care,Architecture & Engineering Occupations,0,High School,15,29,2765,29
Health Care,Architecture & Engineering Occupations,0,Some College,15,92,8466,92
Health Care,Architecture & Engineering Occupations,0,Bachelors Degree or more,15,102,10045,102
Health Care,Architecture & Engineering Occupations,1,Less than High School,15,1,81,1
Health Care,Architecture & Engineering Occupations,1,High School,15,4,307,4
Health Care,Architecture & Engineering Occupations,1,Some College,15,7,722,7
Health Care,Architecture & Engineering Occupations,1,Bachelors Degree or more,15,8,632,8
Health Care,"Life, Physical, & Social Science Occupations",0,Less than High School,15,1,97,1
Health Care,"Life, Physical, & Social Science Occupations",0,High School,15,20,2165,20
Health Care,"Life, Physical, & Social Science Occupations",0,Some College,15,108,10808,108
Health Care,"Life, Physical, & Social Science Occupations",0,Bachelors Degree or more,15,2032,193361,2032
Health Care,"Life, Physical, & Social Science Occupations",1,Less than High School,15,1,73,1
Health Care,"Life, Physical, & Social Science Occupations",1,High School,15,2,192,2
Health Care,"Life, Physical, & Social Science Occupations",1,Some College,15,8,774,8
Health Care,"Life, Physical, & Social Science Occupations",1,Bachelors Degree or more,15,84,7008,84
Health Care,Community & Social Services Occupations,0,Less than High School,15,45,4732,45
Health Care,Community & Social Services Occupations,0,High School,15,273,28387,273
Health Care,Community & Social Services Occupations,0,Some College,15,708,82276,708
Health Care,Community & Social Services Occupations,0,Bachelors Degree or more,15,3250,327429,3250
Health Care,Community & Social Services Occupations,1,Less than High School,15,4,261,4
Health Care,Community & Social Services Occupations,1,High School,15,28,2976,28
Health Care,Community & Social Services Occupations,1,Some College,15,82,8250,82
Health Care,Community & Social Services Occupations,1,Bachelors Degree or more,15,224,22090,224
Health Care,Legal Occupations,0,Less than High School,15,4,490,4
Health Care,Legal Occupations,0,High School,15,12,1301,12
Health Care,Legal Occupations,0,Some College,15,37,4441,37
Health Care,Legal Occupations,0,Bachelors Degree or more,15,104,11271,104
Health Care,Legal Occupations,1,High School,15,1,62,1
Health Care,Legal Occupations,1,Some College,15,3,379,3
Health Care,Legal Occupations,1,Bachelors Degree or more,15,3,1006,3
Health Care,"Education, Training, & Library Occupations",0,Less than High School,15,8,808,8
Health Care,"Education, Training, & Library Occupations",0,High School,15,49,5110,49
Health Care,"Education, Training, & Library Occupations",0,Some College,15,160,16835,160
Health Care,"Education, Training, & Library Occupations",0,Bachelors Degree or more,15,366,38357,366
Health Care,"Education, Training, & Library Occupations",1,High School,15,4,470,4
Health Care,"Education, Training, & Library Occupations",1,Some College,15,13,1580,13
Health Care,"Education, Training, & Library Occupations",1,Bachelors Degree or more,15,19,1798,19
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Less than High School,15,5,389,5
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",0,High School,15,26,3157,26
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Some College,15,93,10606,93
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Bachelors Degree or more,15,224,20545,224
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Less than High School,15,1,85,1
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",1,High School,15,3,235,3
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Some College,15,7,749,7
Health Care,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Bachelors Degree or more,15,16,1437,16
Health Care,Healthcare Practitioners & Technical Occupations,0,Less than High School,15,334,35457,334
Health Care,Healthcare Practitioners & Technical Occupations,0,High School,15,2819,302582,2819
Health Care,Healthcare Practitioners & Technical Occupations,0,Some College,15,23684,2319400,23684
Health Care,Healthcare Practitioners & Technical Occupations,0,Bachelors Degree or more,15,37442,3710534,37442
Health Care,Healthcare Practitioners & Technical Occupations,1,Less than High School,15,47,4867,47
Health Care,Healthcare Practitioners & Technical Occupations,1,High School,15,220,20576,220
Health Care,Healthcare Practitioners & Technical Occupations,1,Some College,15,1266,123354,1266
Health Care,Healthcare Practitioners & Technical Occupations,1,Bachelors Degree or more,15,1251,119042,1251
Health Care,Healthcare Support Occupations,0,Less than High School,15,2077,235021,2077
Health Care,Healthcare Support Occupations,0,High School,15,8176,916372,8176
Health Care,Healthcare Support Occupations,0,Some College,15,13754,1554745,13754
Health Care,Healthcare Support Occupations,0,Bachelors Degree or more,15,3050,327952,3050
Health Care,Healthcare Support Occupations,1,Less than High School,15,302,31063,302
Health Care,Healthcare Support Occupations,1,High School,15,663,67748,663
Health Care,Healthcare Support Occupations,1,Some College,15,878,90365,878
Health Care,Healthcare Support Occupations,1,Bachelors Degree or more,15,139,14123,139
Health Care,Protective Service Occupations,0,Less than High School,15,25,2519,25
Health Care,Protective Service Occupations,0,High School,15,194,19749,194
Health Care,Protective Service Occupations,0,Some College,15,272,29675,272
Health Care,Protective Service Occupations,0,Bachelors Degree or more,15,93,11175,93
Health Care,Protective Service Occupations,1,Less than High School,15,4,285,4
Health Care,Protective Service Occupations,1,High School,15,8,1140,8
Health Care,Protective Service Occupations,1,Some College,15,23,2491,23
Health Care,Protective Service Occupations,1,Bachelors Degree or more,15,5,900,5
Health Care,Food Preparation & Serving Related Occupations,0,Less than High School,15,491,54093,491
Health Care,Food Preparation & Serving Related Occupations,0,High School,15,1254,134418,1254
Health Care,Food Preparation & Serving Related Occupations,0,Some College,15,1003,116390,1003
Health Care,Food Preparation & Serving Related Occupations,0,Bachelors Degree or more,15,163,16279,163
Health Care,Food Preparation & Serving Related Occupations,1,Less than High School,15,64,7498,64
Health Care,Food Preparation & Serving Related Occupations,1,High School,15,155,17239,155
Health Care,Food Preparation & Serving Related Occupations,1,Some College,15,91,10269,91
Health Care,Food Preparation & Serving Related Occupations,1,Bachelors Degree or more,15,8,584,8
Health Care,Building & Grounds Cleaning & Maintenance Occupations,0,Less than High School,15,956,109220,956
Health Care,Building & Grounds Cleaning & Maintenance Occupations,0,High School,15,1878,196066,1878
Health Care,Building & Grounds Cleaning & Maintenance Occupations,0,Some College,15,908,99958,908
Health Care,Building & Grounds Cleaning & Maintenance Occupations,0,Bachelors Degree or more,15,163,16950,163
Health Care,Building & Grounds Cleaning & Maintenance Occupations,1,Less than High School,15,189,15849,189
Health Care,Building & Grounds Cleaning & Maintenance Occupations,1,High School,15,280,24684,280
Health Care,Building & Grounds Cleaning & Maintenance Occupations,1,Some College,15,90,7820,90
Health Care,Building & Grounds Cleaning & Maintenance Occupations,1,Bachelors Degree or more,15,21,1781,21
Health Care,Personal Care & Service Occupations,0,Less than High School,15,699,75494,699
Health Care,Personal Care & Service Occupations,0,High School,15,1963,215990,1963
Health Care,Personal Care & Service Occupations,0,Some College,15,2311,261101,2311
Health Care,Personal Care & Service Occupations,0,Bachelors Degree or more,15,925,96972,925
Health Care,Personal Care & Service Occupations,1,Less than High School,15,134,13078,134
Health Care,Personal Care & Service Occupations,1,High School,15,228,24011,228
Health Care,Personal Care & Service Occupations,1,Some College,15,252,26370,252
Health Care,Personal Care & Service Occupations,1,Bachelors Degree or more,15,54,5776,54
Health Care,Sales & Related Occupations,0,Less than High School,15,15,1448,15
Health Care,Sales & Related Occupations,0,High School,15,99,10648,99
Health Care,Sales & Related Occupations,0,Some College,15,176,19666,176
Health Care,Sales & Related Occupations,0,Bachelors Degree or more,15,257,25193,257
Health Care,Sales & Related Occupations,1,Less than High School,15,1,23,1
Health Care,Sales & Related Occupations,1,High School,15,14,972,14
Health Care,Sales & Related Occupations,1,Some College,15,15,2080,15
Health Care,Sales & Related Occupations,1,Bachelors Degree or more,15,12,1122,12
Health Care,Office & Administrative Support Occupations,0,Less than High School,15,518,51041,518
Health Care,Office & Administrative Support Occupations,0,High School,15,6278,639108,6278
Health Care,Office & Administrative Support Occupations,0,Some College,15,11294,1157161,11294
Health Care,Office & Administrative Support Occupations,0,Bachelors Degree or more,15,3903,396922,3903
Health Care,Office & Administrative Support Occupations,1,Less than High School,15,86,7830,86
Health Care,Office & Administrative Support Occupations,1,High School,15,437,40478,437
Health Care,Office & Administrative Support Occupations,1,Some College,15,732,72648,732
Health Care,Office & Administrative Support Occupations,1,Bachelors Degree or more,15,194,18410,194
Health Care,"Farming, Fishing, & Forestry Occupations",0,Some College,15,2,131,2
Health Care,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,15,1,54,1
Health Care,"Farming, Fishing, & Forestry Occupations",1,Less than High School,15,2,100,2
Health Care,"Farming, Fishing, & Forestry Occupations",1,Some College,15,3,115,3
Health Care,Construction & Extraction Occupations,0,Less than High School,15,25,2607,25
Health Care,Construction & Extraction Occupations,0,High School,15,127,12826,127
Health Care,Construction & Extraction Occupations,0,Some College,15,96,8108,96
Health Care,Construction & Extraction Occupations,0,Bachelors Degree or more,15,25,2637,25
Health Care,Construction & Extraction Occupations,1,Less than High School,15,3,269,3
Health Care,Construction & Extraction Occupations,1,High School,15,25,2322,25
Health Care,Construction & Extraction Occupations,1,Some College,15,11,1052,11
Health Care,Construction & Extraction Occupations,1,Bachelors Degree or more,15,4,592,4
Health Care,"Installation, Maintenance, & Repair Occupations",0,Less than High School,15,39,3391,39
Health Care,"Installation, Maintenance, & Repair Occupations",0,High School,15,239,22299,239
Health Care,"Installation, Maintenance, & Repair Occupations",0,Some College,15,352,35358,352
Health Care,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,15,108,10867,108
Health Care,"Installation, Maintenance, & Repair Occupations",1,Less than High School,15,9,805,9
Health Care,"Installation, Maintenance, & Repair Occupations",1,High School,15,28,2253,28
Health Care,"Installation, Maintenance, & Repair Occupations",1,Some College,15,26,2176,26
Health Care,"Installation, Maintenance, & Repair Occupations",1,Bachelors Degree or more,15,8,987,8
Health Care,Production Occupations,0,Less than High School,15,106,10992,106
Health Care,Production Occupations,0,High School,15,349,36213,349
Health Care,Production Occupations,0,Some College,15,340,34866,340
Health Care,Production Occupations,0,Bachelors Degree or more,15,135,13883,135
Health Care,Production Occupations,1,Less than High School,15,36,3157,36
Health Care,Production Occupations,1,High School,15,54,5158,54
Health Care,Production Occupations,1,Some College,15,33,2691,33
Health Care,Production Occupations,1,Bachelors Degree or more,15,9,1051,9
Health Care,Transportation & Material Moving Occupations,0,Less than High School,15,62,6152,62
Health Care,Transportation & Material Moving Occupations,0,High School,15,316,33233,316
Health Care,Transportation & Material Moving Occupations,0,Some College,15,252,27205,252
Health Care,Transportation & Material Moving Occupations,0,Bachelors Degree or more,15,107,10970,107
Health Care,Transportation & Material Moving Occupations,1,Less than High School,15,16,1221,16
Health Care,Transportation & Material Moving Occupations,1,High School,15,37,3299,37
Health Care,Transportation & Material Moving Occupations,1,Some College,15,34,2716,34
Health Care,Transportation & Material Moving Occupations,1,Bachelors Degree or more,15,5,396,5
Social Assistance Services,Management Occupations,0,Less than High School,15,33,3069,33
Social Assistance Services,Management Occupations,0,High School,15,272,24528,272
Social Assistance Services,Management Occupations,0,Some College,15,801,78283,801
Social Assistance Services,Management Occupations,0,Bachelors Degree or more,15,1723,172244,1723
Social Assistance Services,Management Occupations,1,Less than High School,15,4,309,4
Social Assistance Services,Management Occupations,1,High School,15,33,2369,33
Social Assistance Services,Management Occupations,1,Some College,15,66,6636,66
Social Assistance Services,Management Occupations,1,Bachelors Degree or more,15,103,8267,103
Social Assistance Services,Business & Financial Operations Occupations,0,Less than High School,15,5,641,5
Social Assistance Services,Business & Financial Operations Occupations,0,High School,15,54,4884,54
Social Assistance Services,Business & Financial Operations Occupations,0,Some College,15,167,16900,167
Social Assistance Services,Business & Financial Operations Occupations,0,Bachelors Degree or more,15,432,42050,432
Social Assistance Services,Business & Financial Operations Occupations,1,Less than High School,15,3,281,3
Social Assistance Services,Business & Financial Operations Occupations,1,High School,15,8,638,8
Social Assistance Services,Business & Financial Operations Occupations,1,Some College,15,11,623,11
Social Assistance Services,Business & Financial Operations Occupations,1,Bachelors Degree or more,15,18,1615,18
Social Assistance Services,Computer & Mathematical Occupations,0,High School,15,7,466,7
Social Assistance Services,Computer & Mathematical Occupations,0,Some College,15,45,4433,45
Social Assistance Services,Computer & Mathematical Occupations,0,Bachelors Degree or more,15,67,5932,67
Social Assistance Services,Computer & Mathematical Occupations,1,Some College,15,3,439,3
Social Assistance Services,Computer & Mathematical Occupations,1,Bachelors Degree or more,15,5,427,5
Social Assistance Services,Architecture & Engineering Occupations,0,High School,15,2,124,2
Social Assistance Services,Architecture & Engineering Occupations,0,Bachelors Degree or more,15,2,366,2
Social Assistance Services,Architecture & Engineering Occupations,1,Bachelors Degree or more,15,1,137,1
Social Assistance Services,"Life, Physical, & Social Science Occupations",0,High School,15,1,235,1
Social Assistance Services,"Life, Physical, & Social Science Occupations",0,Some College,15,4,413,4
Social Assistance Services,"Life, Physical, & Social Science Occupations",0,Bachelors Degree or more,15,135,14523,135
Social Assistance Services,"Life, Physical, & Social Science Occupations",1,Some College,15,1,102,1
Social Assistance Services,"Life, Physical, & Social Science Occupations",1,Bachelors Degree or more,15,6,584,6
Social Assistance Services,Community & Social Services Occupations,0,Less than High School,15,76,8706,76
Social Assistance Services,Community & Social Services Occupations,0,High School,15,366,37489,366
Social Assistance Services,Community & Social Services Occupations,0,Some College,15,877,94002,877
Social Assistance Services,Community & Social Services Occupations,0,Bachelors Degree or more,15,3584,367987,3584
Social Assistance Services,Community & Social Services Occupations,1,Less than High School,15,16,1368,16
Social Assistance Services,Community & Social Services Occupations,1,High School,15,60,5220,60
Social Assistance Services,Community & Social Services Occupations,1,Some College,15,93,9249,93
Social Assistance Services,Community & Social Services Occupations,1,Bachelors Degree or more,15,206,19645,206
Social Assistance Services,Legal Occupations,0,Less than High School,15,1,54,1
Social Assistance Services,Legal Occupations,0,High School,15,15,1933,15
Social Assistance Services,Legal Occupations,0,Some College,15,51,5111,51
Social Assistance Services,Legal Occupations,0,Bachelors Degree or more,15,79,7347,79
Social Assistance Services,Legal Occupations,1,High School,15,2,202,2
Social Assistance Services,Legal Occupations,1,Some College,15,9,567,9
Social Assistance Services,Legal Occupations,1,Bachelors Degree or more,15,3,495,3
Social Assistance Services,"Education, Training, & Library Occupations",0,Less than High School,15,126,16444,126
Social Assistance Services,"Education, Training, & Library Occupations",0,High School,15,826,92974,826
Social Assistance Services,"Education, Training, & Library Occupations",0,Some College,15,2265,245309,2265
Social Assistance Services,"Education, Training, & Library Occupations",0,Bachelors Degree or more,15,1933,191154,1933
Social Assistance Services,"Education, Training, & Library Occupations",1,Less than High School,15,11,1244,11
Social Assistance Services,"Education, Training, & Library Occupations",1,High School,15,71,7866,71
Social Assistance Services,"Education, Training, & Library Occupations",1,Some College,15,144,13867,144
Social Assistance Services,"Education, Training, & Library Occupations",1,Bachelors Degree or more,15,71,5980,71
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Less than High School,15,2,112,2
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,High School,15,9,506,9
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Some College,15,34,3311,34
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Bachelors Degree or more,15,93,8525,93
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Less than High School,15,3,237,3
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",1,High School,15,22,844,22
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Some College,15,4,503,4
Social Assistance Services,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Bachelors Degree or more,15,5,615,5
Social Assistance Services,Healthcare Practitioners & Technical Occupations,0,Less than High School,15,4,313,4
Social Assistance Services,Healthcare Practitioners & Technical Occupations,0,High School,15,24,2810,24
Social Assistance Services,Healthcare Practitioners & Technical Occupations,0,Some College,15,168,14941,168
Social Assistance Services,Healthcare Practitioners & Technical Occupations,0,Bachelors Degree or more,15,493,46396,493
Social Assistance Services,Healthcare Practitioners & Technical Occupations,1,High School,15,5,466,5
Social Assistance Services,Healthcare Practitioners & Technical Occupations,1,Some College,15,11,966,11
Social Assistance Services,Healthcare Practitioners & Technical Occupations,1,Bachelors Degree or more,15,17,1559,17
Social Assistance Services,Healthcare Support Occupations,0,Less than High School,15,156,17722,156
Social Assistance Services,Healthcare Support Occupations,0,High School,15,286,30059,286
Social Assistance Services,Healthcare Support Occupations,0,Some College,15,294,32107,294
Social Assistance Services,Healthcare Support Occupations,0,Bachelors Degree or more,15,92,11672,92
Social Assistance Services,Healthcare Support Occupations,1,Less than High School,15,24,2372,24
Social Assistance Services,Healthcare Support Occupations,1,High School,15,38,3616,38
Social Assistance Services,Healthcare Support Occupations,1,Some College,15,36,3065,36
Social Assistance Services,Healthcare Support Occupations,1,Bachelors Degree or more,15,5,649,5
Social Assistance Services,Protective Service Occupations,0,Less than High School,15,4,804,4
Social Assistance Services,Protective Service Occupations,0,High School,15,31,3059,31
Social Assistance Services,Protective Service Occupations,0,Some College,15,55,5359,55
Social Assistance Services,Protective Service Occupations,0,Bachelors Degree or more,15,33,3665,33
Social Assistance Services,Protective Service Occupations,1,Less than High School,15,2,272,2
Social Assistance Services,Protective Service Occupations,1,High School,15,2,102,2
Social Assistance Services,Protective Service Occupations,1,Some College,15,6,392,6
Social Assistance Services,Protective Service Occupations,1,Bachelors Degree or more,15,2,64,2
Social Assistance Services,Food Preparation & Serving Related Occupations,0,Less than High School,15,92,8145,92
Social Assistance Services,Food Preparation & Serving Related Occupations,0,High School,15,211,19059,211
