Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Utilities,,,,8,13130,1242114,13130
Construction         ,,,,8,80676,8890440,80676
Manufacturing,,,,8,151077,15239477,151077
Wholesale Trade,,,,8,38133,3914929,38133
Retail Trade,,,,8,152097,16548278,152097
"Transportation, Warehousing & Storage",,,,8,55178,5815462,55178
Information,,,,8,29604,3052278,29604
"Finance, Insurance",,,,8,66657,6837093,66657
"Real Estate, Rental & Leasing",,,,8,25333,2682674,25333
"Professional, Scientific, Management",,,,8,97480,9767411,97480
Administrative & Waste Management Services,,,,8,54026,6199418,54026
Educational Services,,,,8,143909,13413553,143909
Health Care,,,,8,161273,16541320,161273
Social Assistance Services,,,,8,33032,3368123,33032
"Arts, Entertainment, Recreation",,,,8,28846,3013757,28846
Accommodation and Food Services,,,,8,84746,10314019,84746
Other Services (except Public Administration)       ,,,,8,68142,7127971,68142
Public Administration,,,,8,70390,6844188,70390
Active Duty Military,,,,8,10557,985641,10557
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Less than High School,9,6462,699675,6462
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,High School,9,10867,947943,10867
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Some College,9,8233,697488,8233
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Bachelors Degree or more,9,5555,483735,5555
Utilities,,,Less than High School,9,446,44684,446
Utilities,,,High School,9,3798,356214,3798
Utilities,,,Some College,9,5091,475853,5091
Utilities,,,Bachelors Degree or more,9,3795,365363,3795
Construction         ,,,Less than High School,9,14182,1804297,14182
Construction         ,,,High School,9,31468,3448145,31468
Construction         ,,,Some College,9,24548,2581402,24548
Construction         ,,,Bachelors Degree or more,9,10478,1056596,10478
Manufacturing,,,Less than High School,9,15745,1766919,15745
Manufacturing,,,High School,9,49741,4963735,49741
Manufacturing,,,Some College,9,45273,4511269,45273
Manufacturing,,,Bachelors Degree or more,9,40318,3997554,40318
Wholesale Trade,,,Less than High School,9,3463,381207,3463
Wholesale Trade,,,High School,9,10839,1124879,10839
Wholesale Trade,,,Some College,9,12450,1262787,12450
Wholesale Trade,,,Bachelors Degree or more,9,11381,1146056,11381
Retail Trade,,,Less than High School,9,13217,1493393,13217
Retail Trade,,,High School,9,50074,5409978,50074
