MajorOcc,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
"Life, Physical, & Social Science Occupations",,,,High School,17,645,62050,645
"Life, Physical, & Social Science Occupations",,,,Some College,17,1716,163243,1716
"Life, Physical, & Social Science Occupations",,,,Bachelors Degree or more,17,10639,1007695,10639
Community & Social Services Occupations,,,,Less than High School,17,387,40325,387
Community & Social Services Occupations,,,,High School,17,1755,172020,1755
Community & Social Services Occupations,,,,Some College,17,4305,445844,4305
Community & Social Services Occupations,,,,Bachelors Degree or more,17,17997,1723418,17997
Legal Occupations,,,,Less than High School,17,85,8512,85
Legal Occupations,,,,High School,17,844,84935,844
Legal Occupations,,,,Some College,17,2571,258634,2571
Legal Occupations,,,,Bachelors Degree or more,17,14009,1333043,14009
"Education, Training, & Library Occupations",,,,Less than High School,17,828,86567,828
"Education, Training, & Library Occupations",,,,High School,17,5361,532183,5361
"Education, Training, & Library Occupations",,,,Some College,17,14045,1376087,14045
"Education, Training, & Library Occupations",,,,Bachelors Degree or more,17,72850,6808952,72850
"Arts, Design, Entertainment, Sports, & Media Occupations",,,,Less than High School,17,577,66324,577
"Arts, Design, Entertainment, Sports, & Media Occupations",,,,High School,17,2652,271130,2652
"Arts, Design, Entertainment, Sports, & Media Occupations",,,,Some College,17,7778,800286,7778
"Arts, Design, Entertainment, Sports, & Media Occupations",,,,Bachelors Degree or more,17,16254,1635490,16254
Healthcare Practitioners & Technical Occupations,,,,Less than High School,17,540,57776,540
Healthcare Practitioners & Technical Occupations,,,,High School,17,4471,467695,4471
Healthcare Practitioners & Technical Occupations,,,,Some College,17,29763,2935486,29763
Healthcare Practitioners & Technical Occupations,,,,Bachelors Degree or more,17,47574,4674978,47574
Healthcare Support Occupations,,,,Less than High School,17,2761,307500,2761
Healthcare Support Occupations,,,,High School,17,10126,1122900,10126
Healthcare Support Occupations,,,,Some College,17,16973,1894324,16973
Healthcare Support Occupations,,,,Bachelors Degree or more,17,4089,433574,4089
