FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
19,0,1,7,0.048198304,68852,1428515,14076,IA
19,1,0,7,0.046719248,4490,96106,980,IA
19,1,1,7,0.042789679,4023,94018,901,IA
20,0,0,7,0.132568692,33831,255196,2542,KS
20,0,1,7,0.100707695,132186,1312571,12464,KS
20,1,0,7,0.056369471,5252,93171,1027,KS
20,1,1,7,0.075002061,6370,84931,864,KS
21,0,0,7,0.027635724,12975,469501,4745,KY
21,0,1,7,0.034505811,62610,1814477,17705,KY
21,1,0,7,0.004453854,1237,277737,2826,KY
21,1,1,7,0.027058815,3842,141987,1395,KY
22,0,0,7,0.050269694,27046,538018,4906,LA
22,0,1,7,0.0524145,101474,1935991,17607,LA
22,1,0,7,0.018511835,4206,227206,2300,LA
22,1,1,7,0.036461172,5152,141301,1425,LA
23,0,0,7,0.018913266,2125,112355,1225,ME
23,0,1,7,0.011373162,6770,595261,5383,ME
23,1,0,7,0.014341816,1081,75374,722,ME
23,1,1,7,0.012340056,569,46110,423,ME
24,0,0,7,0.079535304,42474,534027,5345,MD
24,0,1,7,0.096490237,279299,2894583,27611,MD
24,1,0,7,0.039095356,6498,166209,1649,MD
24,1,1,7,0.070259371,10941,155723,1580,MD
25,0,0,7,0.12053864,75415,625650,6524,MA
25,0,1,7,0.092437952,301205,3258456,32209,MA
25,1,0,7,0.159045691,35972,226174,2271,MA
25,1,1,7,0.11975457,20025,167217,1724,MA
26,0,0,7,0.044174504,45497,1029938,10387,MI
26,0,1,7,0.04439064,190839,4299082,41012,MI
26,1,0,7,0.033859193,16419,484920,5014,MI
26,1,1,7,0.039639985,11592,292432,2996,MI
27,0,0,7,0.051981312,21596,415457,4227,MN
27,0,1,7,0.045260485,120007,2651474,25349,MN
27,1,0,7,0.03106314,4504,144995,1486,MN
27,1,1,7,0.038010299,5809,152827,1625,MN
28,0,0,7,0.022534534,7690,341254,3381,MS
28,0,1,7,0.026877923,31619,1176393,10863,MS
28,1,0,7,0.011043825,2079,188250,1935,MS
28,1,1,7,0.026067469,2431,93258,948,MS
29,0,0,7,0.0451595,25067,555077,5688,MO
29,0,1,7,0.034969002,93390,2670651,25542,MO
29,1,0,7,0.02574695,7130,276926,2938,MO
29,1,1,7,0.023537375,4277,181711,1873,MO
30,0,0,7,0.043837547,4541,103587,1061,MT
30,0,1,7,0.023464041,10443,445064,4189,MT
30,1,0,7,0.055544446,2222,40004,356,MT
30,1,1,7,0.030144371,973,32278,322,MT
31,0,0,7,0.115612378,16458,142355,1425,NE
31,0,1,7,0.090074012,80299,891478,8455,NE
31,1,0,7,0.070834378,3389,47844,525,NE
31,1,1,7,0.059015085,2809,47598,508,NE
32,0,0,7,0.266543663,75410,282918,2705,NV
32,0,1,7,0.275940707,344366,1247971,11469,NV
32,1,0,7,0.15876725,15831,99712,967,NV
32,1,1,7,0.251235988,24138,96077,875,NV
33,0,0,7,0.03173816,3712,116957,1199,NH
33,0,1,7,0.031023656,19870,640479,6243,NH
33,1,0,7,0.020072718,933,46481,441,NH
33,1,1,7,0.011693507,456,38996,389,NH
34,0,0,7,0.197157046,182153,923898,9038,NJ
34,0,1,7,0.19266165,803774,4171946,40212,NJ
34,1,0,7,0.189565933,45598,240539,2417,NJ
34,1,1,7,0.170088611,33783,198620,2029,NJ
35,0,0,7,0.452501078,117491,259648,2525,NM
35,0,1,7,0.464384552,385272,829640,7293,NM
35,1,0,7,0.443974472,41671,93859,874,NM
35,1,1,7,0.444353543,30416,68450,595,NM
36,0,0,7,0.198235413,456329,2301955,22458,NY
