FIPS,Dis1,LaborForce,raceX,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
6,0,,Some other race(s),13,32693,3784185,22112849,207316,0.171130595,CA
6,0,0,White only,15,27281,2836826,4692746,45070,0.604513008,CA
6,0,0,Black/African American only,15,2247,272241,4692746,45070,0.058013155,CA
6,0,0,Native American only,15,489,36462,4692746,45070,0.007769864,CA
6,0,0,Asian only,15,8035,781178,4692746,45070,0.166465008,CA
6,0,0,Some other race(s),15,7018,766039,4692746,45070,0.163238965,CA
6,0,1,White only,15,101615,10747904,17420103,162246,0.616982804,CA
6,0,1,Black/African American only,15,7724,960368,17420103,162246,0.055129869,CA
6,0,1,Native American only,15,1300,114135,17420103,162246,0.006551913,CA
6,0,1,Asian only,15,25932,2579550,17420103,162246,0.148078918,CA
6,0,1,Some other race(s),15,25675,3018146,17420103,162246,0.173256496,CA
6,1,,White only,13,13075,1285403,1991752,20005,0.645362977,CA
6,1,,Black/African American only,13,1877,202554,1991752,20005,0.101696396,CA
6,1,,Native American only,13,388,31378,1991752,20005,0.015753969,CA
6,1,,Asian only,13,1714,159811,1991752,20005,0.080236395,CA
6,1,,Some other race(s),13,2951,312606,1991752,20005,0.156950263,CA
6,1,0,White only,15,7771,760775,1194415,11966,0.636943608,CA
6,1,0,Black/African American only,15,1248,137347,1194415,11966,0.114991021,CA
6,1,0,Native American only,15,262,22194,1194415,11966,0.018581481,CA
6,1,0,Asian only,15,970,94389,1194415,11966,0.079025297,CA
6,1,0,Some other race(s),15,1715,179710,1194415,11966,0.150458593,CA
6,1,1,White only,15,5304,524628,797337,8039,0.657975235,CA
6,1,1,Black/African American only,15,629,65207,797337,8039,0.081780978,CA
6,1,1,Native American only,15,126,9184,797337,8039,0.011518342,CA
6,1,1,Asian only,15,744,65422,797337,8039,0.082050626,CA
6,1,1,Some other race(s),15,1236,132896,797337,8039,0.166674819,CA
8,,,White only,9,27834,2822559,3339931,32154,0.845095004,CO
8,,,Black/African American only,9,986,130299,3339931,32154,0.039012483,CO
8,,,Native American only,9,287,29845,3339931,32154,0.008935813,CO
8,,,Asian only,9,972,103824,3339931,32154,0.031085672,CO
8,,,Some other race(s),9,2075,253404,3339931,32154,0.075871029,CO
8,,0,White only,11,5670,553474,673439,6711,0.821862114,CO
8,,0,Black/African American only,11,239,29949,673439,6711,0.044471734,CO
8,,0,Native American only,11,88,8383,673439,6711,0.012448047,CO
8,,0,Asian only,11,242,24991,673439,6711,0.037109523,CO
8,,0,Some other race(s),11,472,56642,673439,6711,0.084108583,CO
8,,1,White only,11,22164,2269085,2666492,25443,0.850962613,CO
8,,1,Black/African American only,11,747,100350,2666492,25443,0.037633715,CO
8,,1,Native American only,11,199,21462,2666492,25443,0.008048777,CO
8,,1,Asian only,11,730,78833,2666492,25443,0.029564312,CO
8,,1,Some other race(s),11,1603,196762,2666492,25443,0.073790583,CO
8,0,,White only,13,25260,2570495,3034005,29114,0.847228334,CO
8,0,,Black/African American only,13,859,115647,3034005,29114,0.038116944,CO
8,0,,Native American only,13,240,24313,3034005,29114,0.0080135,CO
8,0,,Asian only,13,926,98863,3034005,29114,0.032584983,CO
8,0,,Some other race(s),13,1829,224687,3034005,29114,0.074056239,CO
8,0,0,White only,15,4361,428776,520471,5158,0.823823037,CO
8,0,0,Black/African American only,15,171,22100,520471,5158,0.04246154,CO
8,0,0,Native American only,15,61,5161,520471,5158,0.009916018,CO
8,0,0,Asian only,15,219,22588,520471,5158,0.043399152,CO
8,0,0,Some other race(s),15,346,41846,520471,5158,0.080400253,CO
8,0,1,White only,15,20899,2141719,2513534,23956,0.852074808,CO
8,0,1,Black/African American only,15,688,93547,2513534,23956,0.03721732,CO
8,0,1,Native American only,15,179,19152,2513534,23956,0.007619551,CO
8,0,1,Asian only,15,707,76275,2513534,23956,0.03034572,CO
8,0,1,Some other race(s),15,1483,182841,2513534,23956,0.072742601,CO
8,1,,White only,13,2574,252064,305926,3040,0.823937815,CO
8,1,,Black/African American only,13,127,14652,305926,3040,0.047893935,CO
8,1,,Native American only,13,47,5532,305926,3040,0.018082804,CO
8,1,,Asian only,13,46,4961,305926,3040,0.01621634,CO
8,1,,Some other race(s),13,246,28717,305926,3040,0.093869106,CO
8,1,0,White only,15,1309,124698,152968,1553,0.815190105,CO
8,1,0,Black/African American only,15,68,7849,152968,1553,0.051311385,CO
8,1,0,Native American only,15,27,3222,152968,1553,0.021063229,CO
8,1,0,Asian only,15,23,2403,152968,1553,0.015709168,CO
8,1,0,Some other race(s),15,126,14796,152968,1553,0.096726113,CO
8,1,1,White only,15,1265,127366,152958,1487,0.832686097,CO
8,1,1,Black/African American only,15,59,6803,152958,1487,0.044476262,CO
8,1,1,Native American only,15,20,2310,152958,1487,0.015102185,CO
8,1,1,Asian only,15,23,2558,152958,1487,0.016723545,CO
8,1,1,Some other race(s),15,120,13921,152958,1487,0.091011912,CO
9,,,White only,9,17906,1733603,2244784,21900,0.77228054,CT
9,,,Black/African American only,9,1705,237761,2244784,21900,0.105917095,CT
9,,,Native American only,9,58,5820,2244784,21900,0.002592677,CT
9,,,Asian only,9,1029,102418,2244784,21900,0.04562488,CT
9,,,Some other race(s),9,1202,165182,2244784,21900,0.073584808,CT
9,,0,White only,11,3431,324750,426635,4310,0.761189307,CT
9,,0,Black/African American only,11,320,41549,426635,4310,0.097387697,CT
9,,0,Native American only,11,16,1176,426635,4310,0.002756455,CT
9,,0,Asian only,11,259,25349,426635,4310,0.059416129,CT
9,,0,Some other race(s),11,284,33811,426635,4310,0.079250413,CT
9,,1,White only,11,14475,1408853,1818149,17590,0.774883137,CT
9,,1,Black/African American only,11,1385,196212,1818149,17590,0.107918548,CT
