FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
53,0,,6,0.1116567457,437240,3915930,37169,WA
53,1,,6,0.0817951875,38935,476006,4786,WA
54,0,,6,0.0139309391,12879,924489,8788,WV
54,1,,6,0.0067296425,1407,209075,2000,WV
55,0,,6,0.0577634361,183894,3183571,31351,WI
55,1,,6,0.0605941937,21972,362609,3559,WI
56,0,,6,0.0818698909,26340,321730,3060,WY
56,1,,6,0.0792745319,3099,39092,394,WY
1,0,0,7,0.0485441345,27527,567051,5410,AL
1,0,1,7,0.0378688796,74528,1968054,18175,AL
1,1,0,7,0.0140051704,3906,278897,2945,AL
1,1,1,7,0.0334794432,4789,143043,1486,AL
2,0,0,7,0.0427522672,2970,69470,731,AK
2,0,1,7,0.0667945529,23956,358652,2899,AK
2,1,0,7,0.0609514371,1107,18162,193,AK
2,1,1,7,0.0845526117,2352,27817,236,AK
4,0,0,7,0.3304911204,264032,798908,7758,AZ
4,0,1,7,0.2906585412,794214,2732464,25834,AZ
4,1,0,7,0.2517631778,58151,230975,2455,AZ
4,1,1,7,0.246963125,38831,157234,1630,AZ
5,0,0,7,0.073429397,23278,317012,3203,AR
5,0,1,7,0.0692394275,81753,1180729,10919,AR
5,1,0,7,0.0233485162,4188,179369,1945,AR
5,1,1,7,0.0471448733,4209,89278,918,AR
6,0,0,7,0.381119285,1788496,4692746,45070,CA
6,0,1,7,0.3736347598,6508756,17420103,162246,CA
6,1,0,7,0.3246585148,387777,1194415,11966,CA
6,1,1,7,0.3424950805,273084,797337,8039,CA
8,0,0,7,0.214703605,111747,520471,5158,CO
8,0,1,7,0.1873784082,470982,2513534,23956,CO
8,1,0,7,0.201643481,30845,152968,1553,CO
8,1,1,7,0.1957530825,29942,152958,1487,CO
9,0,0,7,0.1618645858,54409,336139,3359,CT
9,0,1,7,0.1373347764,236904,1725011,16619,CT
9,1,0,7,0.1614767504,14613,90496,951,CT
9,1,1,7,0.1804956087,16811,93138,971,CT
10,0,0,7,0.1139617029,11034,96822,888,DE
10,0,1,7,0.079894167,32763,410080,3681,DE
10,1,0,7,0.0997159011,3545,35551,337,DE
10,1,1,7,0.0761908388,2001,26263,256,DE
11,0,0,7,0.0847967952,6562,77385,778,DC
11,0,1,7,0.1127339168,38254,339330,3336,DC
11,1,0,7,0.0348911244,822,23559,243,DC
11,1,1,7,0.0745001205,1237,16604,176,DC
12,0,0,7,0.2475123039,533490,2155408,20417,FL
12,0,1,7,0.2599264915,2171461,8354135,77354,FL
12,1,0,7,0.1798763464,133045,739647,7389,FL
12,1,1,7,0.1844064551,84732,459485,4738,FL
13,0,0,7,0.0880266136,99836,1134157,10687,GA
13,0,1,7,0.0927645361,407357,4391301,40204,GA
13,1,0,7,0.0369263877,14894,403343,4152,GA
13,1,1,7,0.0562775181,15300,271867,2678,GA
15,0,0,7,0.0788077403,11615,147384,1568,HI
15,0,1,7,0.0898016631,59019,657215,6371,HI
15,1,0,7,0.1201586627,4241,35295,354,HI
15,1,1,7,0.1303774952,3958,30358,305,HI
16,0,0,7,0.1305663931,21351,163526,1594,ID
16,0,1,7,0.1097737227,74739,680846,6240,ID
16,1,0,7,0.0763846885,4420,57865,638,ID
16,1,1,7,0.081144289,3886,47890,499,ID
17,0,0,7,0.1806766329,231712,1282468,12452,IL
17,0,1,7,0.1594986023,960877,6024360,57609,IL
17,1,0,7,0.1205734796,48475,402037,4197,IL
17,1,1,7,0.1191445489,38251,321047,3284,IL
18,0,0,7,0.0731271863,47267,646367,6485,IN
18,0,1,7,0.0603816022,173536,2873988,27855,IN
18,1,0,7,0.0321709575,9257,287744,3030,IN
18,1,1,7,0.0369183494,7569,205020,2104,IN
19,0,0,7,0.0627555273,15810,251930,2491,IA
19,0,1,7,0.0481983038,68852,1428515,14076,IA
19,1,0,7,0.0467192475,4490,96106,980,IA
19,1,1,7,0.0427896786,4023,94018,901,IA
20,0,0,7,0.1325686923,33831,255196,2542,KS
20,0,1,7,0.1007076951,132186,1312571,12464,KS
20,1,0,7,0.0563694712,5252,93171,1027,KS
20,1,1,7,0.0750020605,6370,84931,864,KS
21,0,0,7,0.0276357239,12975,469501,4745,KY
21,0,1,7,0.0345058108,62610,1814477,17705,KY
21,1,0,7,0.0044538538,1237,277737,2826,KY
