Dis1,Industry21,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est
1,Accommodation and Food Services,Less than High School,7,1088,125058,566588,5176,0.22072123
1,Accommodation and Food Services,High School,7,1995,218631,566588,5176,0.38587298
1,Accommodation and Food Services,Some College,7,1730,185325,566588,5176,0.327089525
1,Accommodation and Food Services,Bachelors Degree or more,7,363,37574,566588,5176,0.066316265
1,Other Services (except Public Administration),Less than High School,7,879,86082,478455,5033,0.179916607
1,Other Services (except Public Administration),High School,7,1675,163174,478455,5033,0.341043567
1,Other Services (except Public Administration),Some College,7,1561,148765,478455,5033,0.310927883
1,Other Services (except Public Administration),Bachelors Degree or more,7,918,80434,478455,5033,0.168111944
1,Public Administration,Less than High School,7,258,21748,417424,4719,0.052100502
1,Public Administration,High School,7,1007,86675,417424,4719,0.207642589
1,Public Administration,Some College,7,1928,176346,417424,4719,0.422462532
1,Public Administration,Bachelors Degree or more,7,1526,132655,417424,4719,0.317794377
1,Active Duty Military,Less than High School,7,6,983,40963,436,0.023997266
1,Active Duty Military,High School,7,117,10355,40963,436,0.252789102
1,Active Duty Military,Some College,7,241,22077,40963,436,0.538949784
1,Active Duty Military,Bachelors Degree or more,7,72,7548,40963,436,0.184263848
